Fecha,Nivel
2010-9-13,44.70
2010-9-14,44.70
2010-9-15,44.60
2010-9-16,44.60
2010-9-17,44.60
2010-9-18,44.60
2010-9-19,44.60
2010-9-20,44.60
2010-9-21,44.50
2010-9-22,44.50
2010-9-23,44.50
2010-9-24,44.40
2010-9-25,44.40
2010-9-26,44.40
2010-9-27,44.40
2010-9-28,44.50
2010-9-29,44.50
2010-9-30,44.50
2010-10-1,44.50
2010-10-2,44.50
2010-10-3,44.50
2010-10-4,44.50
2010-10-5,44.50
2010-10-6,44.50
2010-10-7,44.50
2010-10-8,44.40
2010-10-9,44.40
2010-10-10,44.40
2010-10-11,44.40
2010-10-12,44.40
2010-10-13,44.30
2010-10-14,44.40
2010-10-15,44.40
2010-10-16,44.40
2010-10-17,44.40
2010-10-18,44.40
2010-10-19,44.40
2010-10-20,44.30
2010-10-21,44.30
2010-10-22,44.30
2010-10-23,44.20
2010-10-24,44.20
2010-10-25,44.20
2010-10-26,44.20
2010-10-27,44.20
2010-10-28,44.20
2010-10-29,44.20
2010-10-30,44.20
2010-10-31,44.20
2010-11-1,44.20
2010-11-2,44.10
2010-11-3,44.10
2010-11-4,44.10
2010-11-5,44.00
2010-11-6,44.00
2010-11-7,44.00
2010-11-8,44.00
2010-11-9,44.00
2010-11-10,43.90
2010-11-11,43.90
2010-11-12,43.80
2010-11-13,43.80
2010-11-14,43.80
2010-11-15,43.80
2010-11-16,43.80
2010-11-17,43.70
2010-11-18,43.70
2010-11-19,43.70
2010-11-20,43.60
2010-11-21,43.70
2010-11-22,43.70
2010-11-23,43.70
2010-11-24,43.70
2010-11-25,43.70
2010-11-26,43.70
2010-11-27,43.60
2010-11-28,43.70
2010-11-29,43.90
2010-11-30,44.00
2010-12-1,44.00
2010-12-2,44.10
2010-12-3,44.10
2010-12-4,44.10
2010-12-5,44.10
2010-12-6,44.10
2010-12-7,44.10
2010-12-8,44.20
2010-12-9,44.20
2010-12-10,44.20
2010-12-11,44.20
2010-12-12,44.10
2010-12-13,44.10
2010-12-14,44.10
2010-12-15,44.10
2010-12-16,44.10
2010-12-17,44.00
2010-12-18,44.10
2010-12-19,44.20
2010-12-20,44.30
2010-12-21,44.30
2010-12-22,44.30
2010-12-23,44.30
2010-12-24,44.70
2010-12-25,44.70
2010-12-26,44.70
2010-12-27,44.70
2010-12-28,44.70
2010-12-29,44.70
2010-12-30,
2010-12-31,
2011-1-1,44.70
2011-1-2,44.70
2011-1-3,44.80
2011-1-4,44.80
2011-1-5,44.80
2011-1-6,45.00
2011-1-7,45.00
2011-1-8,45.10
2011-1-9,45.10
2011-1-10,45.20
2011-1-11,45.20
2011-1-12,45.30
2011-1-13,45.30
2011-1-14,45.40
2011-1-15,45.40
2011-1-16,45.50
2011-1-17,45.50
2011-1-18,45.50
2011-1-19,45.50
2011-1-20,45.50
2011-1-21,45.50
2011-1-22,45.40
2011-1-23,45.40
2011-1-24,45.40
2011-1-25,45.40
2011-1-26,45.60
2011-1-27,45.80
2011-1-28,45.80
2011-1-29,45.90
2011-1-30,45.90
2011-1-31,45.90
2011-2-1,46.00
2011-2-2,46.00
2011-2-3,46.00
2011-2-4,46.00
2011-2-5,46.10
2011-2-6,46.10
2011-2-7,46.00
2011-2-8,46.00
2011-2-9,46.00
2011-2-10,46.00
2011-2-11,46.00
2011-2-12,46.00
2011-2-13,46.10
2011-2-14,46.20
2011-2-15,46.30
2011-2-16,46.40
2011-2-17,46.40
2011-2-18,46.60
2011-2-19,46.70
2011-2-20,46.70
2011-2-21,46.70
2011-2-22,46.60
2011-2-23,46.60
2011-2-24,46.70
2011-2-25,46.70
2011-2-26,46.60
2011-2-27,46.60
2011-2-28,46.60
2011-3-1,46.60
2011-3-2,46.60
2011-3-3,46.60
2011-3-4,46.60
2011-3-5,46.70
2011-3-6,46.70
2011-3-7,46.70
2011-3-8,46.60
2011-3-9,46.60
2011-3-10,46.60
2011-3-11,46.50
2011-3-12,46.60
2011-3-13,46.70
2011-3-14,46.60
2011-3-15,46.60
2011-3-16,46.60
2011-3-17,46.30
2011-3-18,46.60
2011-3-19,46.60
2011-3-20,46.60
2011-3-21,46.60
2011-3-22,46.60
2011-3-23,46.60
2011-3-24,46.60
2011-3-25,46.60
2011-3-26,46.60
2011-3-27,46.60
2011-3-28,46.60
2011-3-29,46.60
2011-3-30,46.60
2011-3-31,46.60
2011-4-1,46.60
2011-4-2,46.60
2011-4-3,46.60
2011-4-4,46.60
2011-4-5,46.50
2011-4-6,46.50
2011-4-7,46.40
2011-4-8,46.40
2011-4-9,46.30
2011-4-10,46.30
2011-4-11,46.30
2011-4-12,46.20
2011-4-13,46.20
2011-4-14,46.10
2011-4-15,46.10
2011-4-16,46.00
2011-4-17,46.00
2011-4-18,45.90
2011-4-19,45.90
2011-4-20,45.80
2011-4-21,45.80
2011-4-22,45.80
2011-4-23,45.80
2011-4-24,45.80
2011-4-25,45.70
2011-4-26,45.70
2011-4-27,45.70
2011-4-28,45.70
2011-4-29,45.60
2011-4-30,45.60
2011-5-1,45.60
2011-5-2,45.60
2011-5-3,45.60
2011-5-4,45.60
2011-5-5,45.60
2011-5-6,45.50
2011-5-7,45.50
2011-5-8,45.50
2011-5-9,45.50
2011-5-10,45.40
2011-5-11,45.40
2011-5-12,45.40
2011-5-13,45.40
2011-5-14,45.40
2011-5-15,45.30
2011-5-16,45.30
2011-5-17,45.30
2011-5-18,45.30
2011-5-19,45.30
2011-5-20,45.30
2011-5-21,45.20
2011-5-22,45.20
2011-5-23,45.20
2011-5-24,45.20
2011-5-25,45.20
2011-5-26,45.20
2011-5-27,45.10
2011-5-28,45.10
2011-5-29,45.10
2011-5-30,45.10
2011-5-31,45.10
2011-6-1,45.00
2011-6-2,45.00
2011-6-3,45.00
2011-6-4,45.00
2011-6-5,44.90
2011-6-6,44.90
2011-6-7,44.90
2011-6-8,44.90
2011-6-9,44.90
2011-6-10,44.90
2011-6-11,44.90
2011-6-12,44.90
2011-6-13,44.90
2011-6-14,44.80
2011-6-15,44.80
2011-6-16,44.80
2011-6-17,44.80
2011-6-18,44.80
2011-6-19,44.70
2011-6-20,44.70
2011-6-21,44.70
2011-6-22,44.80
2011-6-23,44.70
2011-6-24,44.70
2011-6-25,44.70
2011-6-26,44.70
2011-6-27,44.70
2011-6-28,44.70
2011-6-29,44.70
2011-6-30,44.70
2011-7-1,44.60
2011-7-2,44.60
2011-7-3,44.60
2011-7-4,44.60
2011-7-5,44.60
2011-7-6,44.60
2011-7-7,44.60
2011-7-8,44.90
2011-7-9,44.90
2011-7-10,44.90
2011-7-11,44.90
2011-7-12,44.90
2011-7-13,44.80
2011-7-14,44.80
2011-7-15,44.80
2011-7-16,44.80
2011-7-17,44.80
2011-7-18,44.80
2011-7-19,44.80
2011-7-20,44.70
2011-7-21,44.70
2011-7-22,44.70
2011-7-23,44.70
2011-7-24,44.70
2011-7-25,44.60
2011-7-26,44.60
2011-7-27,44.60
2011-7-28,44.60
2011-7-29,44.60
2011-7-30,
2011-7-31,
2011-8-1,44.50
2011-8-2,44.50
2011-8-3,44.50
2011-8-4,44.40
2011-8-5,44.40
2011-8-6,44.40
2011-8-7,44.40
2011-8-8,44.40
2011-8-9,44.40
2011-8-10,44.40
2011-8-11,44.40
2011-8-12,44.40
2011-8-13,44.30
2011-8-14,44.30
2011-8-15,44.30
2011-8-16,44.30
2011-8-17,44.30
2011-8-18,44.30
2011-8-19,44.20
2011-8-20,44.20
2011-8-21,44.20
2011-8-22,44.20
2011-8-23,44.20
2011-8-24,44.20
2011-8-25,44.10
2011-8-26,44.10
2011-8-27,44.10
2011-8-28,44.10
2011-8-29,44.10
2011-8-30,44.00
2011-8-31,44.00
2011-9-1,44.00
2011-9-2,44.00
2011-9-3,43.90
2011-9-4,43.90
2011-9-5,43.90
2011-9-6,43.90
2011-9-7,43.90
2011-9-8,43.80
2011-9-9,43.80
2011-9-10,43.80
